State,DegreePercent
Alabama,17.5
Alaska,19.2
Arizona,20.4
Arkansas,15.7
California,22.5
Colorado,28.8
Connecticut,23
Delaware,21
District of Columbia,26.4
Florida,21.4
Georgia,20.7
Hawaii,22.1
Idaho,21.4
Illinois,22.5
Indiana,19
Iowa,21.5
Kansas,22
Kentucky,16.5
Louisiana,17
Maine,22.3
Maryland,23.2
Massachusetts,25.3
Michigan,19.5
Minnesota,25.4
Mississippi,15.2
Missouri,19.7
Montana,22.9
Nebraska,22.6
Nevada,17.6
New Hampshire,24.6
New Jersey,25.9
New Mexico,16.9
New York,22.3
North Carolina,22.8
North Dakota,22.3
Ohio,19.4
Oklahoma,18.6
Oregon,22.2
Pennsylvania,20.8
Puerto Rico,20.9
Rhode Island,23.9
South Carolina,19.8
South Dakota,21.7
Tennessee,19.7
Texas,21.6
Utah,24.7
Vermont,24.5
Virginia,23.6
Washington,23.8
West Virginia,15
Wisconsin,21.7
Wyoming,18